sample_id,category,defect_type,source_image,kind,label_status,corruption_type,subset,final_state,final_instant_bucket,hard_loss_epochs,hard_state_epochs,final_loss,mean_loss,final_mask_iou,final_fn,final_fp,final_class_error,frozen_conflict_epochs,analysis_conflict_epochs,review_label,review_reason,reviewer
train:1023827126115464097:grid/test/thread/006.png,grid,thread,grid/test/thread/006.png,abnormal,corrupted,mask_shift,CONTROLLED_CORRUPTION,HARD_LEARNABLE,HARD,15,15,444.2934875488281,566.2960856119792,,1,0,0,15,15,reasonable,Visible grid-thread defect; persistent FN/conflict is consistent with the deliberately shifted mask smoke case.,Codex visual review 2026-08-10
train:1718245752427016899:pill/test/faulty_imprint/014.png,pill,faulty_imprint,pill/test/faulty_imprint/014.png,abnormal,corrupted,drop_mask,CONTROLLED_CORRUPTION,LEARNING,MIDDLE,0,0,0.015542194247245789,0.0023678168033560115,,0,0,0,15,0,questionable,"Visible pill anomaly but the controlled drop-mask annotation is empty, so low loss and LEARNING do not test the visual defect.",Codex visual review 2026-08-10
train:4832004734997902173:capsule/test/crack/020.png,capsule,crack,capsule/test/crack/020.png,abnormal,corrupted,mask_shift,CONTROLLED_CORRUPTION,HARD_LEARNABLE,HARD,14,10,336.6435546875,365.6626790364583,,1,0,0,15,15,reasonable,Visible capsule crack/scratch; shifted target produces the expected persistent FN/conflict smoke signal.,Codex visual review 2026-08-10
train:5899465832141176488:grid/test/broken/003.png,grid,broken,grid/test/broken/003.png,abnormal,corrupted,drop_mask,CONTROLLED_CORRUPTION,LEARNING,MIDDLE,0,0,0.01135265827178955,0.06407942050136625,,0,0,0,15,0,questionable,"Visible grid break but drop-mask target is empty; LEARNING with no analysis conflict is protocol-induced, not evidence of visual success.",Codex visual review 2026-08-10
train:6016708638749308861:grid/test/broken/010.png,grid,broken,grid/test/broken/010.png,abnormal,corrupted,drop_component,CONTROLLED_CORRUPTION,HARD_LEARNABLE,HARD,14,14,155.3491668701172,200.991840616862,0.7042039036750793,0,3,0,11,11,questionable,"Visible grid break and high loss are plausible, but the drop-component corruption only produced transient FP/conflict and no persistent SUSPECT.",Codex visual review 2026-08-10
train:130323337572733479:capsule/test/poke/007.png,capsule,poke,capsule/test/poke/007.png,abnormal,clean,,CLEAN_NATURAL_HARD,HARD_LEARNABLE,HARD,8,8,134.10165405273438,220.5272669474284,0.8461538553237915,0,0,0,14,14,reasonable,Subtle visible capsule poke; high-loss HARD_LEARNABLE candidate is a plausible uncertainty signal.,Codex visual review 2026-08-10
train:1334861589954683747:grid/test/bent/001.png,grid,bent,grid/test/bent/001.png,abnormal,clean,,CLEAN_NATURAL_HARD,HARD_LEARNABLE,HARD,15,15,229.5445098876953,340.5059560139974,0.5918769240379333,0,0,0,14,14,reasonable,Clear grid deformation/break; persistent HARD_LEARNABLE state agrees with the visual difficulty.,Codex visual review 2026-08-10
train:1612102227848134492:capsule/test/faulty_imprint/016.png,capsule,faulty_imprint,capsule/test/faulty_imprint/016.png,abnormal,clean,,CLEAN_NATURAL_HARD,HARD_LEARNABLE,HARD,12,11,159.9019317626953,192.18582560221355,0.7171099781990051,0,0,0,13,13,reasonable,Visible capsule imprint defect; sustained high-loss candidate state is consistent with the image.,Codex visual review 2026-08-10
train:1691446223478622750:capsule/test/scratch/010.png,capsule,scratch,capsule/test/scratch/010.png,abnormal,clean,,CLEAN_NATURAL_HARD,HARD_LEARNABLE,HARD,15,14,155.05105590820312,217.91177876790366,0.7585101127624512,0,0,0,12,12,reasonable,Visible scratch near capsule edge; HARD_LEARNABLE trajectory is visually plausible.,Codex visual review 2026-08-10
train:1879538272500325958:pill/test/scratch/018.png,pill,scratch,pill/test/scratch/018.png,abnormal,clean,,CLEAN_NATURAL_HARD,LEARNING,MIDDLE,4,4,130.0601348876953,159.12655232747395,0.9184871315956116,0,0,0,12,12,reasonable,Moderate visible pill scratch; the sample improved out of HARD into LEARNING rather than remaining permanently hard.,Codex visual review 2026-08-10
train:2286936129831654433:pill/test/crack/010.png,pill,crack,pill/test/crack/010.png,abnormal,clean,,CLEAN_NATURAL_HARD,HARD_LEARNABLE,HARD,14,14,146.13333129882812,239.1399719238281,,1,0,0,15,15,reasonable,Multiple visible pill defects with FN; high-loss HARD_LEARNABLE state is consistent.,Codex visual review 2026-08-10
train:2655419239836892122:grid/test/bent/010.png,grid,bent,grid/test/bent/010.png,abnormal,clean,,CLEAN_NATURAL_HARD,HARD_LEARNABLE,HARD,15,13,224.68392944335938,261.8781707763672,0.7069486379623413,0,1,0,13,13,reasonable,Clear grid bend/break; hard trajectory and occasional FP are plausible for localization difficulty.,Codex visual review 2026-08-10
